title,author,avg_rating,num_rating
The Couple Next Door,Shari Lapena,3.8,692531
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.83,1115609
The Only One Left,Riley Sager,4.13,546647
Final Girls,Riley Sager,3.82,249996
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.17,917676
Middlesex,Jeffrey Eugenides,4.04,659151
The Adventures of Tom Sawyer,Mark Twain,3.92,1003366
Then She Was Gone,Lisa Jewell,4.04,936196
A Flicker in the Dark,Stacy Willingham,3.98,571330
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.31,704012
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1577842
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.2,1167726
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,1118330
"Holes (Holes, #1)",Louis Sachar,4.01,1343143
The Unbearable Lightness of Being,Milan Kundera,4.11,530803
The Name of the Rose,Umberto Eco,4.14,389927
On the Road,Jack Kerouac,3.61,441741
Where the Red Fern Grows,Wilson Rawls,4.12,435337
Perfume: The Story of a Murderer,Patrick Süskind,4.04,536776
"The Godfather (The Godfather, #1)",Mario Puzo,4.4,456234
In Cold Blood,Truman Capote,4.09,715676
The Scarlet Letter,Nathaniel Hawthorne,3.44,906006
Fight Club,Chuck Palahniuk,4.18,633011
American Gods,Neil Gaiman,4.1,982605
The Five People You Meet in Heaven,Mitch Albom,4.01,788204
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.35,4056107
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,168725
All Quiet on the Western Front,Erich Maria Remarque,4.1,509605
Watchmen,Alan             Moore,4.39,588973
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,578481
The Song of Achilles,Madeline Miller,4.31,1900598
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,814474
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.57,227255
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,156645
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,738186
Peter Pan,J.M. Barrie,4.03,370241
The Secret History,Donna Tartt,4.16,971137
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1189429
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1195958
Love in the Time of Cholera,Gabriel García Márquez,3.94,539282
"Insurgent (Divergent, #2)",Veronica Roth,3.96,1604374
The Addiction Manifesto,Jerry Weaver,4.75,1252
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1331143
A Walk to Remember,Nicholas Sparks,4.2,840061
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,2254567
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55,472415
How the Grinch Stole Christmas!,Dr. Seuss,4.38,441136
The Thorn Birds,Colleen McCullough,4.25,362279
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,3027019
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,335762
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1648194
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,379083
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9773
Their Eyes Were Watching God,Zora Neale Hurston,3.99,380276
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,502400
Atonement,Ian McEwan,3.95,555654
The Importance of Being Earnest,Oscar Wilde,4.17,399880
The Three Musketeers,Alexandre Dumas,4.1,346518
The Lorax,Dr. Seuss,4.35,365442
"Eat, Pray, Love",Elizabeth Gilbert,3.64,1826832
Goodnight Moon,Margaret Wise Brown,4.32,391186
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3913902
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.5,232546
A Midsummer Night’s Dream,William Shakespeare,3.94,571139
The Diary of a Young Girl,Anne Frank,4.2,4107150
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,710845
Bridge to Terabithia,Katherine Paterson,4.06,582812
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,369840
"The Selection (The Selection, #1)",Kiera Cass,4.07,1729944
Heart of Darkness,Joseph Conrad,3.43,549423
Tess of the D’Urbervilles,Thomas Hardy,3.84,299259
The Night Circus,Erin Morgenstern,4.0,1076772
The Call of the Wild,Jack London,3.91,464261
The Prophet,Kahlil Gibran,4.23,323426
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,325161
Alice in Wonderland,Jane Carruth,4.03,396135
The Joy Luck Club,Amy Tan,3.97,705336
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,258698
The Phantom Tollbooth,Norton Juster,4.2,303370
"Oh, the Places You’ll Go!",Dr. Seuss,4.37,437259
The Neverending Story,Michael Ende,4.18,217570
Madame Bovary,Gustave Flaubert,3.71,367266
Treasure Island,Robert Louis Stevenson,3.85,532131
Oliver Twist,Charles Dickens,3.88,421982
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,211772
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,835141
The Boy in the Striped Pajamas,John Boyne,4.16,944962
Jonathan Livingston Seagull,Richard Bach,3.86,268844
Ulysses,James Joyce,3.77,139147
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,1041756
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2822439
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97,480814
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.29,925970
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,279949
A Farewell to Arms,Ernest Hemingway,3.82,347188
David Copperfield,Charles Dickens,4.04,254951
The Canterbury Tales,Geoffrey Chaucer,3.52,235565
A Little Princess,Frances Hodgson Burnett,4.23,321655
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,998656
The World According to Garp,John Irving,4.11,236855
Thirteen Reasons Why,Jay Asher,3.84,1017296
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,167176
The Iliad / The Odyssey,Homer,4.07,82611
The Silmarillion,J.R.R. Tolkien,4.03,328093
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.51,673179
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,432410
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,580582
The Velveteen Rabbit,Margery Williams Bianco,4.31,270178
"Shōgun (Asian Saga, #1)",James Clavell,4.41,208593
Schindler’s List,Thomas Keneally,4.34,164777
The Trial,Franz Kafka,3.94,381643
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.11,3633212
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,432772
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,510200
Man's Search for Meaning,Viktor E. Frankl,4.37,844790
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.26,581015
The Sun Also Rises,Ernest Hemingway,3.79,485657
"Fallen (Fallen, #1)",Lauren Kate,3.72,613718
The Green Mile,Stephen        King,4.49,354787
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,298009
A Confederacy of Dunces,John Kennedy Toole,3.89,293651
The Screwtape Letters,C.S. Lewis,4.27,505192
The Lord of the Rings,J.R.R. Tolkien,4.54,720678
The Crucible,Arthur Miller,3.61,455129
Cat’s Cradle,Kurt Vonnegut Jr.,4.15,431019
The Secret Magdalene,Ki Longfellow,4.14,4723
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,748419
Misery,Stephen        King,4.23,824072
The Wind in the Willows,Kenneth Grahame,4.02,236875
A Light in the Attic,Shel Silverstein,4.36,472407
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,305836
The Phantom of the Opera,Gaston Leroux,3.96,270004
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,634558
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.48,350733
The God of Small Things,Arundhati Roy,3.96,319314
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1006344
Blindness,José Saramago,4.18,328991
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.4,3078793
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,422282
The House of the Spirits,Isabel Allende,4.29,309336
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.42,1220
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,638943
Girl with a Pearl Earring,Tracy Chevalier,3.93,772669
"Uglies (Uglies, #1)",Scott Westerfeld,3.84,703402
The Wind-Up Bird Chronicle,Haruki Murakami,4.14,309254
Norwegian Wood,Haruki Murakami,3.99,707390
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,475915
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,798421
Speak,Laurie Halse Anderson,4.05,625238
Paper Towns,John Green,3.7,1472447
She’s Come Undone,Wally Lamb,3.92,358944
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,494498
"Marked (House of Night, #1)",P.C. Cast,3.82,519516
Kafka on the Shore,Haruki Murakami,4.12,534787
The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.84,685514
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.06,373005
The Sound and the Fury,William Faulkner,3.86,193402
The Complete Calvin and Hobbes,Bill Watterson,4.81,41791
For Whom the Bell Tolls,Ernest Hemingway,3.99,313457
The Complete Sherlock Holmes,Arthur Conan Doyle,4.51,215124
Island of the Blue Dolphins,Scott O'Dell,3.88,347016
The Idiot,Fyodor Dostoevsky,4.21,210627
Othello,William Shakespeare,3.89,430392
"Inkheart (Inkworld, #1)",Cornelia Funke,3.93,440076
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,1655798
Stranger in a Strange Land,Robert A. Heinlein,3.92,324351
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1172620
Roots: The Saga of an American Family,Alex Haley,4.45,163989
Into the Wild,Jon Krakauer,4.02,1173685
"Wonder (Wonder, #1)",R.J. Palacio,4.36,1177130
"Neverwhere (London Below, #1)",Neil Gaiman,4.16,557431
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,769132
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.11,213797
The Things They Carried,Tim O'Brien,4.14,339554
King Lear,William Shakespeare,3.91,234003
East of Eden,John Steinbeck,4.43,612801
Never Let Me Go,Kazuo Ishiguro,3.85,826051
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,1276228
"Delirium (Delirium, #1)",Lauren Oliver,3.95,477464
White Oleander,Janet Fitch,4.0,364373
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49,919935
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16,3973479
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.0,705216
"Foundation (Foundation, #1)",Isaac Asimov,4.17,585453
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,663593
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,11938
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.92,240484
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.4,656251
All the Light We Cannot See,Anthony Doerr,4.31,1924707
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,148895
James and the Giant Peach,Roald Dahl,4.04,508886
"The Once and Future King (The Once and Future King, #1-5)",T.H. White,4.07,116875
The Martian,Andy Weir,4.42,1253046
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,156238
I Know This Much Is True,Wally Lamb,4.21,322354
Paradise Lost,John Milton,3.85,179122
The Time Machine,H.G. Wells,3.89,556374
Candide,Voltaire,3.76,296651
The Complete Works,William Shakespeare,4.48,57613
Invisible Man,Ralph Ellison,3.92,199709
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.29,1673152
"Heidi (Heidi, #1-2)",Johanna Spyri,4.04,209596
Flow Down Like Silver,Ki Longfellow,4.01,4509
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1773495
The Historian,Elizabeth Kostova,3.8,274416
The Thirteenth Tale,Diane Setterfield,3.98,324066
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,609123
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,180396
Hamlet,William Shakespeare,4.03,1027756
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.21,561602
Leaves of Grass,Walt Whitman,4.11,115269
"Walden or, Life in the Woods",Henry David Thoreau,3.77,201926
"Are You There God? It’s Me, Margaret",Judy Blume,3.95,253283
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,477854
Different Seasons,Stephen        King,4.36,218378
The Complete Maus,Art Spiegelman,4.58,248178
The Cider House Rules,John Irving,4.17,193589
Mrs. Dalloway,Virginia Woolf,3.78,346697
Fangirl,Rainbow Rowell,3.94,774823
"Legend (Legend, #1)",Marie Lu,4.15,558422
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,323147
Sophie’s World,Jostein Gaarder,3.97,277328
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.14,379689
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.45,645091
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,500697
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,3254850
The Awakening,Kate Chopin,3.69,223907
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.29,667353
The Graveyard Book,Neil Gaiman,4.15,562317
Stardust,Neil Gaiman,4.1,477657
Black Beauty,Anna Sewell,4.0,295264
Middlemarch,George Eliot,4.03,176313
The Monster at the End of this Book,Jon Stone,4.46,126678
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,405782
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,965536
A Little Life,Hanya Yanagihara,4.29,881434
Sophie’s Choice,William Styron,4.17,93882
Number the Stars,Lois Lowry,4.19,611728
The Prince of Tides,Pat Conroy,4.26,214683
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,557687
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,822096
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,592653
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81,1016053
V for Vendetta,Alan             Moore,4.26,322091
The Art of Racing in the Rain,Garth Stein,4.23,548341
War and Peace,Leo Tolstoy,4.17,359485
Eleanor & Park,Rainbow Rowell,3.93,1245944
American Psycho,Bret Easton Ellis,3.8,352728
Beowulf,Unknown,3.5,340368
White Fang,Jack London,4.05,281973
Franny and Zooey,J.D. Salinger,3.96,236740
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73,300606
The Witches,Roald Dahl,4.18,422607
"Allegiant (Divergent, #3)",Veronica Roth,3.6,1128408
Love You Forever,Robert Munsch,4.38,245817
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,473088
A Short History of Nearly Everything,Bill Bryson,4.22,415522
"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.91,654080
"If I Stay (If I Stay, #1)",Gayle Forman,3.91,959182
The Complete Novels,Jane Austen,4.57,33889
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.36,93515
Gulliver’s Travels,Jonathan Swift,3.59,295417
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,580834
Tuck Everlasting,Natalie Babbitt,3.91,291384
11/22/63,Stephen        King,4.35,624287
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.09,4462382
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,1453754
The Grapes of Wrath,John Steinbeck,4.02,978040
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.14,456771
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,905286
’Salem’s Lot,Stephen        King,4.1,642461
Inferno,Dante Alighieri,4.03,202176
Bel Canto,Ann Patchett,3.94,315462
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,3027019
A Portrait of the Artist as a Young Man,James Joyce,3.64,161971
Cloud Atlas,David Mitchell,4.01,264246
As I Lay Dying,William Faulkner,3.72,183843
القرآن الكريم,Anonymous,4.38,71620
Cold Mountain,Charles Frazier,3.89,248694
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,243911
Where the Crawdads Sing,Delia Owens,4.37,3521086
